Timestamp,Protocol,Payload Size (bytes),Device Active Time (ms),Client IP,Client Port,Header Size (bytes),QoS / Method
78918078360600,HTTP,2273,0,::ffff:10.85.52.177,50976,198,POST
78918146036400,HTTP,2273,0,::ffff:10.85.52.177,54757,198,POST
78918232929400,HTTP,2273,0,::ffff:10.85.52.177,50411,198,POST
78918361126500,HTTP,2273,0,::ffff:10.85.52.177,58866,198,POST
78918460422600,HTTP,2273,0,::ffff:10.85.52.177,60679,198,POST
78918522329600,HTTP,2273,0,::ffff:10.85.52.177,65060,198,POST
78918583438600,HTTP,2273,0,::ffff:10.85.52.177,51152,198,POST
78918639128900,HTTP,2273,0,::ffff:10.85.52.177,50213,198,POST
78918688857500,HTTP,2273,0,::ffff:10.85.52.177,62894,198,POST
78918740924000,HTTP,2273,0,::ffff:10.85.52.177,58233,198,POST
78918810162500,HTTP,2273,0,::ffff:10.85.52.177,51128,198,POST
78918889116100,HTTP,2273,0,::ffff:10.85.52.177,50156,198,POST
78918937843000,HTTP,2273,0,::ffff:10.85.52.177,52135,198,POST
78918990960500,HTTP,2273,0,::ffff:10.85.52.177,49352,198,POST
78919040482500,HTTP,2273,0,::ffff:10.85.52.177,58176,198,POST
78919091817000,HTTP,2273,0,::ffff:10.85.52.177,57562,198,POST
78919137968700,HTTP,2273,0,::ffff:10.85.52.177,49476,198,POST
78919186460300,HTTP,2273,0,::ffff:10.85.52.177,56613,198,POST
78919228889200,HTTP,2273,0,::ffff:10.85.52.177,58943,198,POST
78919285581900,HTTP,2273,0,::ffff:10.85.52.177,51968,198,POST
78919329919400,HTTP,2273,0,::ffff:10.85.52.177,61349,198,POST
78919381024400,HTTP,2273,0,::ffff:10.85.52.177,52766,198,POST
78919422397800,HTTP,2273,0,::ffff:10.85.52.177,56114,198,POST
78919470128700,HTTP,2273,0,::ffff:10.85.52.177,61619,198,POST
78919514967200,HTTP,2273,0,::ffff:10.85.52.177,60488,198,POST
78919582056700,HTTP,2273,0,::ffff:10.85.52.177,59191,198,POST
78919629117100,HTTP,2273,0,::ffff:10.85.52.177,51291,198,POST
78919679979300,HTTP,2273,0,::ffff:10.85.52.177,50404,198,POST
78919728008600,HTTP,2273,0,::ffff:10.85.52.177,58481,198,POST
78919775757200,HTTP,2273,0,::ffff:10.85.52.177,51299,198,POST
78919817883400,HTTP,2273,0,::ffff:10.85.52.177,64891,198,POST
78919867129800,HTTP,2273,0,::ffff:10.85.52.177,51937,198,POST
78919910514900,HTTP,2273,0,::ffff:10.85.52.177,53479,198,POST
78919951894200,HTTP,2273,0,::ffff:10.85.52.177,52170,198,POST
78920001124700,HTTP,2273,0,::ffff:10.85.52.177,49791,198,POST
78920044687300,HTTP,2273,0,::ffff:10.85.52.177,62164,198,POST
78920089092700,HTTP,2273,0,::ffff:10.85.52.177,65126,198,POST
78920131596400,HTTP,2273,0,::ffff:10.85.52.177,51805,198,POST
78920180669600,HTTP,2273,0,::ffff:10.85.52.177,56234,198,POST
78920229141100,HTTP,2273,0,::ffff:10.85.52.177,59331,198,POST
78920275300000,HTTP,2273,0,::ffff:10.85.52.177,50305,198,POST
78920331731000,HTTP,2273,0,::ffff:10.85.52.177,51720,198,POST
78920374579500,HTTP,2273,0,::ffff:10.85.52.177,57276,198,POST
78920421433700,HTTP,2273,0,::ffff:10.85.52.177,52538,198,POST
78920462178800,HTTP,2273,0,::ffff:10.85.52.177,62215,198,POST
78920514542900,HTTP,2273,0,::ffff:10.85.52.177,59792,198,POST
78920558706000,HTTP,2273,0,::ffff:10.85.52.177,53949,198,POST
78920603479300,HTTP,2273,0,::ffff:10.85.52.177,53623,198,POST
78920644108200,HTTP,2273,0,::ffff:10.85.52.177,64113,198,POST
78920691338800,HTTP,2273,0,::ffff:10.85.52.177,49339,198,POST
78920733750500,HTTP,2273,0,::ffff:10.85.52.177,57299,198,POST
78920779116500,HTTP,2273,0,::ffff:10.85.52.177,60588,198,POST
78920846990000,HTTP,2273,0,::ffff:10.85.52.177,54718,198,POST
78920892385800,HTTP,2273,0,::ffff:10.85.52.177,50965,198,POST
78920936694600,HTTP,2273,0,::ffff:10.85.52.177,56807,198,POST
78920976490300,HTTP,2273,0,::ffff:10.85.52.177,62757,198,POST
78921020295400,HTTP,2273,0,::ffff:10.85.52.177,64048,198,POST
78921063887200,HTTP,2273,0,::ffff:10.85.52.177,58196,198,POST
78921114810600,HTTP,2273,0,::ffff:10.85.52.177,57215,198,POST
78921156420900,HTTP,2273,0,::ffff:10.85.52.177,53385,198,POST
78921197657100,HTTP,2273,0,::ffff:10.85.52.177,59357,198,POST
78921248035900,HTTP,2273,0,::ffff:10.85.52.177,59753,198,POST
78921289502800,HTTP,2273,0,::ffff:10.85.52.177,56259,198,POST
78921338733000,HTTP,2273,0,::ffff:10.85.52.177,55841,198,POST
78921381949300,HTTP,2273,0,::ffff:10.85.52.177,51437,198,POST
78921457651800,HTTP,2273,0,::ffff:10.85.52.177,63191,198,POST
78921530116500,HTTP,2273,0,::ffff:10.85.52.177,62174,198,POST
78921575999300,HTTP,2273,0,::ffff:10.85.52.177,60304,198,POST
78921623393100,HTTP,2273,0,::ffff:10.85.52.177,58255,198,POST
78921664799500,HTTP,2273,0,::ffff:10.85.52.177,59916,198,POST
78921730086900,HTTP,2273,0,::ffff:10.85.52.177,59906,198,POST
78921777069900,HTTP,2273,0,::ffff:10.85.52.177,51936,198,POST
78921821639800,HTTP,2273,0,::ffff:10.85.52.177,60636,198,POST
78921864744700,HTTP,2273,0,::ffff:10.85.52.177,52429,198,POST
78921911700200,HTTP,2273,0,::ffff:10.85.52.177,63716,198,POST
78921955370200,HTTP,2273,0,::ffff:10.85.52.177,49879,198,POST
78921997862600,HTTP,2273,0,::ffff:10.85.52.177,49620,198,POST
78922043821100,HTTP,2273,0,::ffff:10.85.52.177,51444,198,POST
78922085447600,HTTP,2273,0,::ffff:10.85.52.177,64752,198,POST
78922161693400,HTTP,2273,0,::ffff:10.85.52.177,51787,198,POST
78922207933700,HTTP,2273,0,::ffff:10.85.52.177,49419,198,POST
78922269198300,HTTP,2273,0,::ffff:10.85.52.177,53595,198,POST
78922313063800,HTTP,2273,0,::ffff:10.85.52.177,52656,198,POST
78922359191900,HTTP,2273,0,::ffff:10.85.52.177,52369,198,POST
78922404922100,HTTP,2273,0,::ffff:10.85.52.177,62077,198,POST
78922452065200,HTTP,2273,0,::ffff:10.85.52.177,64418,198,POST
78922497349300,HTTP,2273,0,::ffff:10.85.52.177,57078,198,POST
78922547182600,HTTP,2273,0,::ffff:10.85.52.177,51768,198,POST
78922592597600,HTTP,2273,0,::ffff:10.85.52.177,56727,198,POST
78922635584600,HTTP,2273,0,::ffff:10.85.52.177,51627,198,POST
78922678305500,HTTP,2273,0,::ffff:10.85.52.177,50560,198,POST
78922725772700,HTTP,2273,0,::ffff:10.85.52.177,59619,198,POST
78922771546200,HTTP,2273,0,::ffff:10.85.52.177,63431,198,POST
78922815279700,HTTP,2273,0,::ffff:10.85.52.177,63289,198,POST
78922861302600,HTTP,2273,0,::ffff:10.85.52.177,54024,198,POST
78922901371300,HTTP,2273,0,::ffff:10.85.52.177,61428,198,POST
78922947468000,HTTP,2273,0,::ffff:10.85.52.177,64066,198,POST
78922991844800,HTTP,2273,0,::ffff:10.85.52.177,56235,198,POST
78923041662700,HTTP,2273,0,::ffff:10.85.52.177,50182,198,POST
78923083682700,HTTP,2273,0,::ffff:10.85.52.177,63914,198,POST
78928241702000,MQTT,2090,0,N/A (Broker),N/A,15,0
78928255765900,MQTT,2090,0,N/A (Broker),N/A,15,0
78928293011100,MQTT,2090,0,N/A (Broker),N/A,15,0
78928308257800,MQTT,2090,0,N/A (Broker),N/A,15,0
78928324100900,MQTT,2090,0,N/A (Broker),N/A,15,0
78928342051000,MQTT,2090,0,N/A (Broker),N/A,15,0
78928360268500,MQTT,2090,0,N/A (Broker),N/A,15,0
78928383645500,MQTT,2090,0,N/A (Broker),N/A,15,0
78928401153200,MQTT,2090,0,N/A (Broker),N/A,15,0
78928418429800,MQTT,2090,0,N/A (Broker),N/A,15,0
78928441383000,MQTT,2090,0,N/A (Broker),N/A,15,0
78928458105900,MQTT,2090,0,N/A (Broker),N/A,15,0
78928486088800,MQTT,2090,0,N/A (Broker),N/A,15,0
78928528499800,MQTT,2090,0,N/A (Broker),N/A,15,0
78928555998300,MQTT,2090,0,N/A (Broker),N/A,15,0
78928586525700,MQTT,2090,0,N/A (Broker),N/A,15,0
78928607439600,MQTT,2090,0,N/A (Broker),N/A,15,0
78928631017100,MQTT,2090,0,N/A (Broker),N/A,15,0
78928662269500,MQTT,2090,0,N/A (Broker),N/A,15,0
78928682136500,MQTT,2090,0,N/A (Broker),N/A,15,0
78928705667900,MQTT,2090,0,N/A (Broker),N/A,15,0
78928720882200,MQTT,2090,0,N/A (Broker),N/A,15,0
78928744340600,MQTT,2090,0,N/A (Broker),N/A,15,0
78928761800500,MQTT,2090,0,N/A (Broker),N/A,15,0
78928790981600,MQTT,2090,0,N/A (Broker),N/A,15,0
78928816305600,MQTT,2090,0,N/A (Broker),N/A,15,0
78928834723500,MQTT,2090,0,N/A (Broker),N/A,15,0
78928857923500,MQTT,2090,0,N/A (Broker),N/A,15,0
78928887220000,MQTT,2090,0,N/A (Broker),N/A,15,0
78928912220000,MQTT,2090,0,N/A (Broker),N/A,15,0
78928936480500,MQTT,2090,0,N/A (Broker),N/A,15,0
78928954777300,MQTT,2090,0,N/A (Broker),N/A,15,0
78928980998700,MQTT,2090,0,N/A (Broker),N/A,15,0
78928997809500,MQTT,2090,0,N/A (Broker),N/A,15,0
78929022178900,MQTT,2090,0,N/A (Broker),N/A,15,0
78929050014300,MQTT,2090,0,N/A (Broker),N/A,15,0
78929075001800,MQTT,2090,0,N/A (Broker),N/A,15,0
78929102840100,MQTT,2090,0,N/A (Broker),N/A,15,0
