"No.","Time","Source","Destination","Protocol","Length","Info"
"238","41.489788100","10.85.52.177","10.85.52.122","TCP","62","60304  >  3000 [SYN] Seq=0 Win=2144 Len=0 MSS=536 SACK_PERM"
"239","41.490086300","10.85.52.122","10.85.52.177","TCP","62","3000  >  60304 [SYN, ACK] Seq=0 Ack=1 Win=65392 Len=0 MSS=1460 SACK_PERM"
"240","41.500374600","10.85.52.177","10.85.52.122","TCP","54","60304  >  3000 [ACK] Seq=1 Ack=1 Win=2144 Len=0"
"241","41.504086200","10.85.52.177","10.85.52.122","TCP","272","60304  >  3000 [PSH, ACK] Seq=1 Ack=1 Win=2144 Len=218 [TCP PDU reassembled in 248]"
"242","41.506977500","10.85.52.177","10.85.52.122","TCP","590","60304  >  3000 [ACK] Seq=219 Ack=1 Win=2144 Len=536 [TCP PDU reassembled in 248]"
"243","41.507231100","10.85.52.122","10.85.52.177","TCP","54","3000  >  60304 [ACK] Seq=1 Ack=755 Win=65392 Len=0"
"244","41.509065300","10.85.52.177","10.85.52.122","TCP","372","60304  >  3000 [PSH, ACK] Seq=755 Ack=1 Win=2144 Len=318 [TCP PDU reassembled in 248]"
"245","41.523373600","10.85.52.177","10.85.52.122","TCP","590","60304  >  3000 [ACK] Seq=1073 Ack=1 Win=2144 Len=536 [TCP PDU reassembled in 248]"
"246","41.523373600","10.85.52.177","10.85.52.122","TCP","272","60304  >  3000 [PSH, ACK] Seq=1609 Ack=1 Win=2144 Len=218 [TCP PDU reassembled in 248]"
"247","41.523680600","10.85.52.122","10.85.52.177","TCP","54","3000  >  60304 [ACK] Seq=1 Ack=1609 Win=65392 Len=0"
"248","41.532199600","10.85.52.177","10.85.52.122","HTTP/JSON","521","POST /api/data/large HTTP/1.1 , JSON (application/json)"
"249","41.532445900","10.85.52.122","10.85.52.177","TCP","54","3000  >  60304 [ACK] Seq=1 Ack=2294 Win=65392 Len=0"
"250","41.533305200","10.85.52.122","10.85.52.177","HTTP","282","HTTP/1.1 200 OK  (text/html)"
"251","41.545982400","10.85.52.177","10.85.52.122","TCP","240","60304  >  3000 [PSH, ACK] Seq=2294 Ack=229 Win=1916 Len=186 [TCP PDU reassembled in 260]"
"252","41.545982400","10.85.52.177","10.85.52.122","TCP","590","60304  >  3000 [ACK] Seq=2480 Ack=229 Win=1916 Len=536 [TCP PDU reassembled in 260]"
"253","41.546317900","10.85.52.122","10.85.52.177","TCP","54","3000  >  60304 [ACK] Seq=229 Ack=3016 Win=65392 Len=0"
"254","41.547351000","10.85.52.122","10.85.52.177","HTTP","282","HTTP/1.1 200 OK  (text/html)"
"255","41.549207200","10.85.52.177","10.85.52.122","TCP","404","60304  >  3000 [PSH, ACK] Seq=3016 Ack=229 Win=1916 Len=350 [TCP PDU reassembled in 260]"
"256","41.556858200","10.85.52.177","10.85.52.122","TCP","590","60304  >  3000 [ACK] Seq=3366 Ack=457 Win=1688 Len=536 [TCP PDU reassembled in 260]"
"257","41.557105900","10.85.52.122","10.85.52.177","TCP","54","3000  >  60304 [ACK] Seq=457 Ack=3902 Win=65392 Len=0"
"258","41.559815700","10.85.52.177","10.85.52.122","TCP","240","60304  >  3000 [PSH, ACK] Seq=3902 Ack=457 Win=1688 Len=186 [TCP PDU reassembled in 260]"
"260","41.574007600","10.85.52.177","10.85.52.122","HTTP","521","POST /api/data/large HTTP/1.1 "
"261","41.574225800","10.85.52.122","10.85.52.177","TCP","54","3000  >  60304 [ACK] Seq=457 Ack=4555 Win=65392 Len=0"
"262","41.576989100","10.85.52.177","10.85.52.122","TCP","240","60304  >  3000 [PSH, ACK] Seq=4555 Ack=457 Win=1688 Len=186 [TCP PDU reassembled in 274]"
"263","41.576989100","10.85.52.177","10.85.52.122","TCP","287","60304  >  3000 [PSH, ACK] Seq=4741 Ack=457 Win=1688 Len=233 [TCP PDU reassembled in 274]"
"264","41.577242700","10.85.52.122","10.85.52.177","TCP","54","3000  >  60304 [ACK] Seq=457 Ack=4974 Win=64973 Len=0"
"265","41.577822500","10.85.52.122","10.85.52.177","HTTP","282","HTTP/1.1 200 OK  (text/html)"
"266","41.588459600","10.85.52.177","10.85.52.122","TCP","590","60304  >  3000 [ACK] Seq=4974 Ack=457 Win=1688 Len=536 [TCP PDU reassembled in 274]"
"267","41.588459600","10.85.52.177","10.85.52.122","TCP","171","60304  >  3000 [PSH, ACK] Seq=5510 Ack=457 Win=1688 Len=117 [TCP PDU reassembled in 274]"
"268","41.588661700","10.85.52.122","10.85.52.177","TCP","54","3000  >  60304 [ACK] Seq=685 Ack=5510 Win=65392 Len=0"
"269","41.588891300","10.85.52.122","10.85.52.177","TCP","54","3000  >  60304 [ACK] Seq=685 Ack=5627 Win=65275 Len=0"
"270","41.591643400","10.85.52.177","10.85.52.122","TCP","473","60304  >  3000 [PSH, ACK] Seq=5627 Ack=685 Win=1460 Len=419 [TCP PDU reassembled in 274]"
